date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,3.3,97,11.7
2020-01-02,7.5,95,19.9
2020-01-03,9.8,88,25.2
2020-01-04,6.3,87,16.1
2020-01-05,5.6,92,7.3
2020-01-06,3.7,90,18.7
2020-01-07,8.2,92,18.4
2020-01-08,11.4,94,18.2
2020-01-09,11.5,90,25.9
2020-01-10,7.5,87,25.1
2020-01-11,4.7,82,15.6
2020-01-12,6.4,87,22.4
2020-01-13,8.6,90,29.0
2020-01-14,10.2,68,35.5
2020-01-15,9.9,72,29.8
2020-01-16,8.6,84,21.9
2020-01-17,9.2,76,24.5
2020-01-18,4.9,83,18.9
2020-01-19,3.3,84,22.4
2020-01-20,2.6,88,19.8
2020-01-21,0.6,89,11.0
2020-01-22,-0.8,91,13.9
2020-01-23,0.4,88,12.7
2020-01-24,-0.2,93,7.6
2020-01-25,0.6,98,10.2
2020-01-26,5.4,93,21.8
2020-01-27,8.5,89,29.5
2020-01-28,6.1,79,36.7
2020-01-29,6.3,81,26.0
2020-01-30,8.6,92,26.1
2020-01-31,12.0,87,23.4
2020-02-01,12.5,85,27.3
2020-02-02,12.8,90,30.0
2020-02-03,12.1,85,37.4
2020-02-04,6.7,75,30.4
2020-02-05,6.3,79,18.2
2020-02-06,3.8,82,10.1
2020-02-07,5.5,78,15.5
2020-02-08,8.7,86,19.2
2020-02-09,9.9,83,49.1
2020-02-10,9.9,73,48.7
2020-02-11,6.3,73,36.0
2020-02-12,6.0,73,28.6
2020-02-13,8.3,77,41.7
2020-02-14,9.3,75,22.0
2020-02-15,10.5,80,32.4
2020-02-16,13.8,69,44.3
2020-02-17,9.1,74,29.7
2020-02-18,7.3,74,27.8
2020-02-19,7.3,81,30.6
2020-02-20,8.7,83,32.8
2020-02-21,6.1,74,19.0
2020-02-22,8.5,79,25.0
2020-02-23,11.4,84,33.8
2020-02-24,11.6,83,31.2
2020-02-25,8.5,81,29.8
2020-02-26,4.4,79,31.8
2020-02-27,5.4,79,49.1
2020-02-28,5.5,84,27.4
2020-02-29,9.2,75,48.1
2020-03-01,6.3,84,28.7
2020-03-02,6.6,85,26.4
2020-03-03,5.1,81,17.7
2020-03-04,5.6,87,20.9
2020-03-05,9.0,91,42.3
2020-03-06,6.5,77,35.4
2020-03-07,6.9,77,18.8
2020-03-08,8.9,85,35.4
2020-03-09,7.8,77,24.5
2020-03-10,11.4,88,31.4
2020-03-11,13.7,78,29.7
2020-03-12,10.7,71,28.8
2020-03-13,7.5,67,21.0
2020-03-14,7.9,86,19.0
2020-03-15,10.1,79,24.0
2020-03-16,9.1,84,13.2
2020-03-17,9.5,82,10.1
2020-03-18,11.5,82,8.7
2020-03-19,12.4,81,12.0
2020-03-20,11.2,84,19.7
2020-03-21,7.6,78,25.0
2020-03-22,7.3,62,24.1
2020-03-23,5.9,50,19.4
2020-03-24,5.5,49,16.0
2020-03-25,5.5,51,20.3
2020-03-26,5.4,48,21.8
2020-03-27,7.2,64,17.3
2020-03-28,9.3,71,25.4
2020-03-29,6.0,53,38.1
2020-03-30,4.3,46,29.7
2020-03-31,6.1,70,21.8
2020-04-01,5.8,61,12.3
2020-04-02,5.6,69,14.3
2020-04-03,9.4,77,14.3
2020-04-04,10.6,69,14.2
2020-04-05,12.7,61,16.0
2020-04-06,11.8,72,20.3
2020-04-07,14.5,78,13.1
2020-04-08,15.8,60,10.7
2020-04-09,16.8,58,17.9
2020-04-10,16.7,60,17.3
2020-04-11,17.4,58,9.4
2020-04-12,17.0,54,13.0
2020-04-13,12.7,59,31.1
2020-04-14,8.1,49,21.5
2020-04-15,11.3,48,16.2
2020-04-16,15.9,60,12.8
2020-04-17,17.1,66,14.7
2020-04-18,16.6,74,13.3
2020-04-19,14.5,73,23.3
2020-04-20,15.9,56,21.0
2020-04-21,16.0,45,18.1
2020-04-22,16.0,48,15.0
2020-04-23,16.8,54,9.6
2020-04-24,17.3,57,14.3
2020-04-25,15.0,51,14.7
2020-04-26,13.6,57,9.7
2020-04-27,16.4,61,12.3
2020-04-28,15.1,71,28.2
2020-04-29,12.7,77,30.6
2020-04-30,11.5,76,35.1
2020-05-01,11.6,77,23.5
2020-05-02,11.7,64,20.2
2020-05-03,12.8,79,17.0
2020-05-04,14.9,80,18.7
2020-05-05,12.6,78,18.9
2020-05-06,14.2,60,11.8
2020-05-07,14.4,59,9.6
2020-05-08,15.9,64,10.1
2020-05-09,17.8,79,11.5
2020-05-10,17.0,87,27.4
2020-05-11,10.0,60,36.5
2020-05-12,9.6,52,20.8
2020-05-13,10.6,54,25.6
2020-05-14,10.6,49,27.9
2020-05-15,11.6,52,21.7
2020-05-16,12.9,58,15.1
2020-05-17,13.7,62,10.0
2020-05-18,15.6,63,14.1
2020-05-19,16.5,62,17.3
2020-05-20,20.0,63,12.4
2020-05-21,22.3,58,12.2
2020-05-22,20.2,69,21.1
2020-05-23,15.5,62,25.5
2020-05-24,14.6,63,16.9
2020-05-25,16.8,64,14.1
2020-05-26,18.6,56,17.8
2020-05-27,20.0,51,18.3
2020-05-28,18.8,50,18.6
2020-05-29,19.1,37,21.0
2020-05-30,19.1,44,21.3
2020-05-31,18.6,42,21.0
2020-06-01,19.8,48,14.7
2020-06-02,21.9,52,13.8
2020-06-03,20.3,56,12.6
2020-06-04,14.3,78,24.4
2020-06-05,13.8,69,33.6
2020-06-06,14.5,57,23.8
2020-06-07,14.0,69,14.6
2020-06-08,14.9,71,20.0
2020-06-09,13.8,66,18.4
2020-06-10,14.8,65,14.9
2020-06-11,16.7,71,17.2
2020-06-12,16.7,79,21.3
2020-06-13,17.4,68,22.0
2020-06-14,17.5,71,17.9
2020-06-15,17.7,72,17.2
2020-06-16,17.8,73,17.2
2020-06-17,17.2,71,10.6
2020-06-18,16.4,77,18.5
2020-06-19,16.7,74,16.7
2020-06-20,18.9,67,7.2
2020-06-21,17.9,72,22.8
2020-06-22,17.6,65,9.8
2020-06-23,21.6,55,15.5
2020-06-24,25.3,46,18.1
