date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,3.6,75,9.6
2020-01-02,4.1,84,11.4
2020-01-03,4.8,85,10.2
2020-01-04,6.4,85,8.6
2020-01-05,6.2,75,16.6
2020-01-06,4.6,63,18.6
2020-01-07,2.7,77,8.5
2020-01-08,5.9,76,9.7
2020-01-09,3.8,79,9.5
2020-01-10,5.4,80,9.0
2020-01-11,5.6,78,9.2
2020-01-12,5.2,83,10.8
2020-01-13,5.3,81,8.0
2020-01-14,6.9,79,8.0
2020-01-15,5.3,77,8.6
2020-01-16,5.4,80,8.7
2020-01-17,5.7,84,8.8
2020-01-18,7.9,90,16.6
2020-01-19,7.1,85,11.5
2020-01-20,7.9,65,11.8
2020-01-21,6.8,79,10.5
2020-01-22,6.7,82,8.3
2020-01-23,6.3,82,8.4
2020-01-24,7.4,82,16.3
2020-01-25,10.9,84,17.0
2020-01-26,8.7,86,8.1
2020-01-27,8.0,88,12.4
2020-01-28,11.8,85,19.3
2020-01-29,10.7,85,11.2
2020-01-30,8.5,83,12.0
2020-01-31,11.5,83,10.2
2020-02-01,11.4,88,12.7
2020-02-02,12.8,87,9.6
2020-02-03,13.6,83,8.6
2020-02-04,13.0,79,37.0
2020-02-05,7.8,50,27.5
2020-02-06,6.8,44,29.5
2020-02-07,4.2,69,11.0
2020-02-08,5.5,71,10.0
2020-02-09,7.6,79,13.1
2020-02-10,11.9,86,20.1
2020-02-11,13.6,84,16.0
2020-02-12,10.7,82,11.5
2020-02-13,9.5,80,19.5
2020-02-14,11.9,73,20.5
2020-02-15,8.7,72,11.0
2020-02-16,8.3,81,11.6
2020-02-17,8.6,83,10.7
2020-02-18,10.2,86,9.1
2020-02-19,9.8,88,11.3
2020-02-20,9.0,71,15.6
2020-02-21,7.6,77,10.1
2020-02-22,8.3,77,13.9
2020-02-23,9.4,83,13.4
2020-02-24,11.9,83,10.7
2020-02-25,12.5,78,18.7
2020-02-26,11.9,68,38.6
2020-02-27,8.8,59,19.5
2020-02-28,11.7,65,23.2
2020-02-29,9.2,66,19.4
2020-03-01,12.8,80,30.1
2020-03-02,13.0,85,35.7
2020-03-03,10.7,73,31.2
2020-03-04,8.7,77,12.7
2020-03-05,8.8,72,26.1
2020-03-06,12.3,79,30.4
2020-03-07,9.4,82,15.9
2020-03-08,9.6,64,22.2
2020-03-09,8.2,72,9.4
2020-03-10,9.5,72,14.4
2020-03-11,10.3,75,13.0
2020-03-12,11.5,83,13.7
2020-03-13,12.3,86,9.7
2020-03-14,13.0,85,7.8
2020-03-15,12.4,71,18.9
2020-03-16,10.7,65,15.2
2020-03-17,10.7,78,16.4
2020-03-18,11.7,75,14.2
2020-03-19,11.5,73,14.8
2020-03-20,12.0,70,14.6
2020-03-21,11.9,68,13.2
2020-03-22,13.3,71,15.8
2020-03-23,9.0,47,28.8
2020-03-24,5.3,46,24.2
2020-03-25,6.4,55,19.5
2020-03-26,7.2,89,24.7
2020-03-27,10.1,85,17.4
2020-03-28,10.5,84,12.7
2020-03-29,11.5,84,13.0
2020-03-30,11.8,83,10.6
2020-03-31,10.4,75,26.0
2020-04-01,7.6,53,27.0
2020-04-02,7.0,66,10.1
2020-04-03,9.4,72,18.7
2020-04-04,11.2,57,23.7
2020-04-05,13.0,50,23.2
2020-04-06,13.5,58,17.9
2020-04-07,13.2,63,17.8
2020-04-08,13.3,64,14.9
2020-04-09,13.5,66,17.1
2020-04-10,13.9,68,17.9
2020-04-11,14.6,67,19.1
2020-04-12,15.2,71,15.6
2020-04-13,15.3,67,19.5
2020-04-14,13.1,74,18.4
2020-04-15,12.6,57,26.1
2020-04-16,12.3,73,14.3
2020-04-17,13.9,75,14.5
2020-04-18,15.0,84,16.0
2020-04-19,16.4,82,15.0
2020-04-20,16.5,95,10.6
2020-04-21,16.2,88,9.6
2020-04-22,14.3,91,12.3
2020-04-23,15.1,79,12.7
2020-04-24,14.3,76,14.7
2020-04-25,14.8,77,18.2
2020-04-26,14.7,75,16.1
2020-04-27,15.1,78,15.9
2020-04-28,15.4,87,21.0
2020-04-29,16.1,80,20.6
2020-04-30,15.1,75,20.0
2020-05-01,17.4,72,19.5
2020-05-02,18.4,72,18.4
2020-05-03,18.0,66,20.5
2020-05-04,15.4,65,16.2
2020-05-05,16.5,62,15.1
2020-05-06,18.4,67,14.3
2020-05-07,17.8,62,22.3
2020-05-08,17.1,62,15.8
2020-05-09,17.3,61,14.7
2020-05-10,19.9,53,13.3
2020-05-11,18.6,63,21.5
2020-05-12,19.4,67,20.1
2020-05-13,21.6,53,31.4
2020-05-14,23.9,48,21.6
2020-05-15,20.7,60,15.9
2020-05-16,22.1,51,26.1
2020-05-17,23.7,56,28.2
2020-05-18,22.5,63,19.8
2020-05-19,20.4,70,17.7
2020-05-20,18.5,78,18.7
2020-05-21,20.8,50,21.3
2020-05-22,19.8,53,23.9
2020-05-23,20.9,60,18.3
2020-05-24,21.2,57,15.8
2020-05-25,21.1,62,22.5
2020-05-26,20.8,43,22.0
2020-05-27,19.5,37,17.3
2020-05-28,18.6,49,25.4
2020-05-29,16.1,76,13.6
2020-05-30,15.9,73,16.6
2020-05-31,17.2,70,18.3
2020-06-01,18.3,67,17.6
2020-06-02,18.9,66,16.7
2020-06-03,19.8,67,17.7
2020-06-04,20.5,66,30.9
2020-06-05,19.0,80,28.2
2020-06-06,19.5,70,21.1
2020-06-07,20.3,71,21.3
2020-06-08,20.5,74,21.4
2020-06-09,19.6,70,20.4
2020-06-10,17.7,75,24.0
2020-06-11,16.9,82,17.4
2020-06-12,18.3,73,15.5
2020-06-13,19.7,77,22.6
2020-06-14,19.8,79,20.4
2020-06-15,20.5,77,15.1
2020-06-16,20.5,78,17.4
2020-06-17,19.9,82,17.9
2020-06-18,20.5,73,17.0
2020-06-19,20.3,71,16.0
2020-06-20,21.7,65,17.2
2020-06-21,21.5,62,18.0
2020-06-22,23.2,59,16.6
2020-06-23,24.8,50,18.2
2020-06-24,24.2,50,20.4
2020-06-25,24.4,56,17.7
2020-06-26,25.1,53,19.4
2020-06-27,25.1,49,20.9
2020-06-28,25.7,49,20.6
2020-06-29,25.6,60,18.8
2020-06-30,25.6,64,20.0
2020-07-01,26.0,65,17.3
2020-07-02,26.8,62,17.4
2020-07-03,26.4,70,13.6
2020-07-04,24.1,76,11.9
2020-07-05,25.2,56,17.7
2020-07-06,25.1,57,19.1
2020-07-07,26.4,59,17.4
2020-07-08,25.3,62,18.6
2020-07-09,26.4,61,19.7
2020-07-10,26.9,52,18.4
2020-07-11,26.3,59,19.3
2020-07-12,27.1,64,15.3
2020-07-13,25.7,61,23.1
2020-07-14,24.4,43,18.7
2020-07-15,24.2,58,15.4
2020-07-16,23.8,62,15.6
2020-07-17,23.9,70,13.0
2020-07-18,24.0,51,15.6
2020-07-19,24.1,41,14.3
2020-07-20,24.7,53,24.1
2020-07-21,26.8,57,20.5
2020-07-22,27.9,48,21.4
2020-07-23,27.1,53,19.0
2020-07-24,26.4,62,21.8
2020-07-25,26.6,54,14.7
